jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631312234,6955631312234,KU,成品 - 成品,EMIE,finished_good,13-digit
6955631316195,6955631316195,KU,成品 - 成品,EMIE,finished_good,13-digit
6955631312807,6955631312807,KU,成品 - 成品,EMIE,finished_good,13-digit
6955631312104,6955631312104,KU,成品 - 成品,EMIE,finished_good,13-digit
6955631311510,6955631311510,KU-KU,成品 - 成品,EMIE,finished_good,13-digit
6955631312173,6955631312173,KU-酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631312098,6955631312098,KU-酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631316119,6955631316119,KU单唛,成品 - 成品,EMIE,finished_good,13-digit
6955631316126,6955631316126,KU双唛,成品 - 成品,EMIE,finished_good,13-digit
6955631311466,6955631311466,KU爱心-KU,成品 - 成品,EMIE,finished_good,13-digit
6955631311398,6955631311398,KU爱心款,成品 - 成品,EMIE,finished_good,13-digit
6955631316188,6955631316188,Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631310339,6955631310339,S3145亿觅桌面喷雾风扇-HelloKitty,成品 - 成品,EMIE,finished_good,13-digit
6955631313804,6955631313804,S3162 亿觅手持喷雾风扇--巴库KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313606,6955631313606,S3162亿觅手持喷雾风扇--CN夏日,成品 - 成品,EMIE,finished_good,13-digit
6955631310377,6955631310377,S3162亿觅手持喷雾风扇-大耳狗柠檬绿,成品 - 成品,EMIE,finished_good,13-digit
6955631313101,6955631313101,TR-232G亿觅旅行快充充电器礼盒--大耳狗(Type-C款),成品 - 成品,EMIE,finished_good,13-digit
6955631313033,6955631313033,TR-232G亿觅旅行快充充电器礼盒--大耳狗(苹果款),成品 - 成品,EMIE,finished_good,13-digit
6955631313637,6955631313637,TR-232G亿觅旅行快充充电器礼盒--酷洛米(TPY-C口),成品 - 成品,EMIE,finished_good,13-digit
6955631313620,6955631313620,TR-232G亿觅旅行快充充电器礼盒--酷洛米(苹果款),成品 - 成品,EMIE,finished_good,13-digit
6955631311503,6955631311503,hello kitty-KT,成品 - 成品,EMIE,finished_good,13-digit
6955631310131,6955631310131,hellokitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311381,6955631311381,ku,成品 - 成品,EMIE,finished_good,13-digit
6955631315808,6955631315808,三丽鸥家族手提袋,成品 - 成品,EMIE,finished_good,13-digit
6955631310148,6955631310148,刷头-粉色儿童款,成品 - 成品,EMIE,finished_good,13-digit
6955631308831,6955631308831,刷头-粉色成人款,成品 - 成品,EMIE,finished_good,13-digit
6955631310629,6955631310629,加油宇航员-,成品 - 成品,EMIE,finished_good,13-digit
6955631311626,6955631311626,咖啡厅-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631309241,6955631309241,圣诞喵,成品 - 成品,EMIE,finished_good,13-digit
6955631311305,6955631311305,圣诞麋鹿-,成品 - 成品,EMIE,finished_good,13-digit
6955631312654,6955631312654,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
